=== MAP GENERATION DATA ===

--- STATIONS ---
BFP (bfpbuilding): Grid (23, 31) | Pixels (4416, 5952) | Rot: 0
Police (policestationn): Grid (16, 11) | Pixels (3072, 2112) | Rot: 0
Hospital (hospitalsss): Grid (31, 15) | Pixels (5952, 2880) | Rot: 0

--- BUILDINGS & TREES ---
tree 3: Grid (0, 0) | Pixels (0, 0) | Rot: 0
tree 1: Grid (2, 0) | Pixels (384, 0) | Rot: 0
tree 2: Grid (3, 0) | Pixels (576, 0) | Rot: 0
tree 2: Grid (6, 0) | Pixels (1152, 0) | Rot: 0
tree 2: Grid (9, 0) | Pixels (1728, 0) | Rot: 0
tree 2: Grid (11, 0) | Pixels (2112, 0) | Rot: 0
tree 2: Grid (13, 0) | Pixels (2496, 0) | Rot: 0
tree 1: Grid (15, 0) | Pixels (2880, 0) | Rot: 0
tree 2: Grid (18, 0) | Pixels (3456, 0) | Rot: 0
tree 1: Grid (22, 0) | Pixels (4224, 0) | Rot: 0
tree 1: Grid (23, 0) | Pixels (4416, 0) | Rot: 0
tree 2: Grid (24, 0) | Pixels (4608, 0) | Rot: 0
tree 3: Grid (25, 0) | Pixels (4800, 0) | Rot: 0
tree 3: Grid (28, 0) | Pixels (5376, 0) | Rot: 0
tree 2: Grid (31, 0) | Pixels (5952, 0) | Rot: 0
tree 1: Grid (32, 0) | Pixels (6144, 0) | Rot: 0
tree 2: Grid (33, 0) | Pixels (6336, 0) | Rot: 0
tree 3: Grid (3, 1) | Pixels (576, 192) | Rot: 0
tree 3: Grid (4, 1) | Pixels (768, 192) | Rot: 0
tree 3: Grid (6, 1) | Pixels (1152, 192) | Rot: 0
tree 2: Grid (7, 1) | Pixels (1344, 192) | Rot: 0
tree 3: Grid (8, 1) | Pixels (1536, 192) | Rot: 0
tree 3: Grid (9, 1) | Pixels (1728, 192) | Rot: 0
tree 2: Grid (11, 1) | Pixels (2112, 192) | Rot: 0
tree 3: Grid (17, 1) | Pixels (3264, 192) | Rot: 0
tree 3: Grid (21, 1) | Pixels (4032, 192) | Rot: 0
tree 3: Grid (28, 1) | Pixels (5376, 192) | Rot: 0
tree 1: Grid (29, 1) | Pixels (5568, 192) | Rot: 0
tree 3: Grid (31, 1) | Pixels (5952, 192) | Rot: 0
tree 1: Grid (38, 1) | Pixels (7296, 192) | Rot: 0
tree 3: Grid (39, 1) | Pixels (7488, 192) | Rot: 0
tree 2: Grid (40, 1) | Pixels (7680, 192) | Rot: 0
tree 3: Grid (1, 2) | Pixels (192, 384) | Rot: 0
tree 1: Grid (39, 2) | Pixels (7488, 384) | Rot: 0
tree 1: Grid (1, 3) | Pixels (192, 576) | Rot: 0
squarehouse: Grid (3, 3) | Pixels (576, 576) | Rot: 0
kindahouse: Grid (4, 3) | Pixels (768, 576) | Rot: 0
building 2: Grid (5, 3) | Pixels (960, 576) | Rot: 0
smallhouse3: Grid (7, 3) | Pixels (1344, 576) | Rot: 0
tree 1: Grid (8, 3) | Pixels (1536, 576) | Rot: 0
big house: Grid (9, 3) | Pixels (1728, 576) | Rot: 0
smallhouse12: Grid (11, 3) | Pixels (2112, 576) | Rot: 0
Redhousee: Grid (12, 3) | Pixels (2304, 576) | Rot: 0
HOuseee: Grid (13, 3) | Pixels (2496, 576) | Rot: 0
apartment2: Grid (15, 3) | Pixels (2880, 576) | Rot: 0
tree 2: Grid (16, 3) | Pixels (3072, 576) | Rot: 0
smallhouse: Grid (17, 3) | Pixels (3264, 576) | Rot: 0
squarehouse: Grid (18, 3) | Pixels (3456, 576) | Rot: 0
smallhouse3: Grid (21, 3) | Pixels (4032, 576) | Rot: 0
smallhouse12: Grid (26, 3) | Pixels (4992, 576) | Rot: 0
squarehouse: Grid (27, 3) | Pixels (5184, 576) | Rot: 0
tree 3: Grid (29, 3) | Pixels (5568, 576) | Rot: 0
big house: Grid (30, 3) | Pixels (5760, 576) | Rot: 0
building 4: Grid (32, 3) | Pixels (6144, 576) | Rot: 0
smallhouse3: Grid (34, 3) | Pixels (6528, 576) | Rot: 0
building 3: Grid (35, 3) | Pixels (6720, 576) | Rot: 0
Redhousee: Grid (36, 3) | Pixels (6912, 576) | Rot: 0
tree 3: Grid (37, 3) | Pixels (7104, 576) | Rot: 0
tree 3: Grid (39, 3) | Pixels (7488, 576) | Rot: 0
tree 1: Grid (40, 3) | Pixels (7680, 576) | Rot: 0
building 2: Grid (5, 4) | Pixels (960, 768) | Rot: 0
building 2: Grid (7, 4) | Pixels (1344, 768) | Rot: 0
Redhousee: Grid (11, 4) | Pixels (2112, 768) | Rot: 0
tree 3: Grid (12, 4) | Pixels (2304, 768) | Rot: 0
big house: Grid (13, 4) | Pixels (2496, 768) | Rot: 0
smallhouseee: Grid (20, 4) | Pixels (3840, 768) | Rot: 0
smallhouse12: Grid (24, 4) | Pixels (4608, 768) | Rot: 0
tree 1: Grid (25, 4) | Pixels (4800, 768) | Rot: 0
building 1: Grid (27, 4) | Pixels (5184, 768) | Rot: 0
apartment2: Grid (29, 4) | Pixels (5568, 768) | Rot: 0
building 1: Grid (34, 4) | Pixels (6528, 768) | Rot: 0
kindahouse: Grid (35, 4) | Pixels (6720, 768) | Rot: 0
big house: Grid (36, 4) | Pixels (6912, 768) | Rot: 0
squarehouse: Grid (8, 5) | Pixels (1536, 960) | Rot: 0
smallhouseee: Grid (9, 5) | Pixels (1728, 960) | Rot: 0
smallhouse12: Grid (13, 5) | Pixels (2496, 960) | Rot: 0
squarehouse: Grid (15, 5) | Pixels (2880, 960) | Rot: 0
tree 1: Grid (17, 5) | Pixels (3264, 960) | Rot: 0
squarehouse: Grid (18, 5) | Pixels (3456, 960) | Rot: 0
building 1: Grid (20, 5) | Pixels (3840, 960) | Rot: 0
Redhousee: Grid (21, 5) | Pixels (4032, 960) | Rot: 0
tree 1: Grid (22, 5) | Pixels (4224, 960) | Rot: 0
apartment2: Grid (24, 5) | Pixels (4608, 960) | Rot: 0
tree 2: Grid (27, 5) | Pixels (5184, 960) | Rot: 0
building 1: Grid (30, 5) | Pixels (5760, 960) | Rot: 0
building 3: Grid (31, 5) | Pixels (5952, 960) | Rot: 0
apartment2: Grid (32, 5) | Pixels (6144, 960) | Rot: 0
tree 1: Grid (39, 5) | Pixels (7488, 960) | Rot: 0
tree 2: Grid (4, 6) | Pixels (768, 1152) | Rot: 0
smallhouse: Grid (5, 6) | Pixels (960, 1152) | Rot: 0
apartment2: Grid (11, 6) | Pixels (2112, 1152) | Rot: 0
tree 3: Grid (12, 6) | Pixels (2304, 1152) | Rot: 0
building 2: Grid (13, 6) | Pixels (2496, 1152) | Rot: 0
smallhouseee: Grid (15, 6) | Pixels (2880, 1152) | Rot: 0
building 3: Grid (18, 6) | Pixels (3456, 1152) | Rot: 0
tree 1: Grid (24, 6) | Pixels (4608, 1152) | Rot: 0
tree 3: Grid (26, 6) | Pixels (4992, 1152) | Rot: 0
squarehouse: Grid (27, 6) | Pixels (5184, 1152) | Rot: 0
apartment2: Grid (34, 6) | Pixels (6528, 1152) | Rot: 0
smallhouse: Grid (36, 6) | Pixels (6912, 1152) | Rot: 0
tree 1: Grid (39, 6) | Pixels (7488, 1152) | Rot: 0
tree 2: Grid (40, 6) | Pixels (7680, 1152) | Rot: 0
apartment2: Grid (5, 7) | Pixels (960, 1344) | Rot: 0
HOuseee: Grid (7, 7) | Pixels (1344, 1344) | Rot: 0
buildingg: Grid (11, 7) | Pixels (2112, 1344) | Rot: 0
squarehouse: Grid (13, 7) | Pixels (2496, 1344) | Rot: 0
smallhouse: Grid (16, 7) | Pixels (3072, 1344) | Rot: 0
smallhouse12: Grid (18, 7) | Pixels (3456, 1344) | Rot: 0
building 3: Grid (21, 7) | Pixels (4032, 1344) | Rot: 0
building 3: Grid (24, 7) | Pixels (4608, 1344) | Rot: 0
tree 2: Grid (27, 7) | Pixels (5184, 1344) | Rot: 0
smallhouse12: Grid (29, 7) | Pixels (5568, 1344) | Rot: 0
tree 1: Grid (30, 7) | Pixels (5760, 1344) | Rot: 0
smallhouseee: Grid (31, 7) | Pixels (5952, 1344) | Rot: 0
big house: Grid (34, 7) | Pixels (6528, 1344) | Rot: 0
building 1: Grid (37, 7) | Pixels (7104, 1344) | Rot: 0
tree 3: Grid (40, 7) | Pixels (7680, 1344) | Rot: 0
building 2: Grid (3, 8) | Pixels (576, 1536) | Rot: 0
building 4: Grid (5, 8) | Pixels (960, 1536) | Rot: 0
building 3: Grid (7, 8) | Pixels (1344, 1536) | Rot: 0
smallhouseee: Grid (8, 8) | Pixels (1536, 1536) | Rot: 0
smallhouse: Grid (11, 8) | Pixels (2112, 1536) | Rot: 0
tree 1: Grid (12, 8) | Pixels (2304, 1536) | Rot: 0
apartment2: Grid (13, 8) | Pixels (2496, 1536) | Rot: 0
building 1: Grid (20, 8) | Pixels (3840, 1536) | Rot: 0
HOuseee: Grid (22, 8) | Pixels (4224, 1536) | Rot: 0
HOuseee: Grid (24, 8) | Pixels (4608, 1536) | Rot: 0
tree 3: Grid (26, 8) | Pixels (4992, 1536) | Rot: 0
building 3: Grid (27, 8) | Pixels (5184, 1536) | Rot: 0
HOuseee: Grid (29, 8) | Pixels (5568, 1536) | Rot: 0
tree 3: Grid (30, 8) | Pixels (5760, 1536) | Rot: 0
tree 3: Grid (31, 8) | Pixels (5952, 1536) | Rot: 0
smallhouse12: Grid (32, 8) | Pixels (6144, 1536) | Rot: 0
tree 1: Grid (35, 8) | Pixels (6720, 1536) | Rot: 0
tree 1: Grid (37, 8) | Pixels (7104, 1536) | Rot: 0
tree 2: Grid (39, 8) | Pixels (7488, 1536) | Rot: 0
tree 1: Grid (0, 9) | Pixels (0, 1728) | Rot: 0
HOuseee: Grid (20, 9) | Pixels (3840, 1728) | Rot: 0
big house: Grid (22, 9) | Pixels (4224, 1728) | Rot: 0
Redhousee: Grid (24, 9) | Pixels (4608, 1728) | Rot: 0
smallhouse: Grid (25, 9) | Pixels (4800, 1728) | Rot: 0
buildingg: Grid (26, 9) | Pixels (4992, 1728) | Rot: 0
tree 3: Grid (27, 9) | Pixels (5184, 1728) | Rot: 0
buildingg: Grid (31, 9) | Pixels (5952, 1728) | Rot: 0
smallhouseee: Grid (32, 9) | Pixels (6144, 1728) | Rot: 0
HOuseee: Grid (37, 9) | Pixels (7104, 1728) | Rot: 0
building 3: Grid (4, 10) | Pixels (768, 1920) | Rot: 0
squarehouse: Grid (5, 10) | Pixels (960, 1920) | Rot: 0
Redhousee: Grid (7, 10) | Pixels (1344, 1920) | Rot: 0
building 1: Grid (11, 10) | Pixels (2112, 1920) | Rot: 0
tree 1: Grid (12, 10) | Pixels (2304, 1920) | Rot: 0
big house: Grid (13, 10) | Pixels (2496, 1920) | Rot: 0
kindahouse: Grid (34, 10) | Pixels (6528, 1920) | Rot: 0
squarehouse: Grid (4, 11) | Pixels (768, 2112) | Rot: 0
building 4: Grid (5, 11) | Pixels (960, 2112) | Rot: 0
tree 3: Grid (8, 11) | Pixels (1536, 2112) | Rot: 0
tree 2: Grid (11, 11) | Pixels (2112, 2112) | Rot: 0
squarehouse: Grid (13, 11) | Pixels (2496, 2112) | Rot: 0
tree 2: Grid (20, 11) | Pixels (3840, 2112) | Rot: 0
apartment: Grid (21, 11) | Pixels (4032, 2112) | Rot: 0
apartment: Grid (22, 11) | Pixels (4224, 2112) | Rot: 0
tree 3: Grid (24, 11) | Pixels (4608, 2112) | Rot: 0
tree 3: Grid (25, 11) | Pixels (4800, 2112) | Rot: 0
big house: Grid (26, 11) | Pixels (4992, 2112) | Rot: 0
building 4: Grid (29, 11) | Pixels (5568, 2112) | Rot: 0
building 3: Grid (31, 11) | Pixels (5952, 2112) | Rot: 0
tree 3: Grid (34, 11) | Pixels (6528, 2112) | Rot: 0
